line,section_name,section_artist,song_name,artist_name,song_lyrics_url,line_number
Pareidolia,Pareidolia,Buck Meek,Pareidolia,Buck Meek,https://genius.com/Buck-meek-pareidolia-lyrics,1
With your head upon my lap on the buffalo grass,Pareidolia,Buck Meek,Pareidolia,Buck Meek,https://genius.com/Buck-meek-pareidolia-lyrics,2
The clouds are moving fast,Pareidolia,Buck Meek,Pareidolia,Buck Meek,https://genius.com/Buck-meek-pareidolia-lyrics,3
"Sippy, tell me what you see",Pareidolia,Buck Meek,Pareidolia,Buck Meek,https://genius.com/Buck-meek-pareidolia-lyrics,4
"""Maybe, it's a baby",Pareidolia,Buck Meek,Pareidolia,Buck Meek,https://genius.com/Buck-meek-pareidolia-lyrics,5
Maybe it's a cottonmouth swallowing its tail,Pareidolia,Buck Meek,Pareidolia,Buck Meek,https://genius.com/Buck-meek-pareidolia-lyrics,6
"That one looks like Lady Guadalupe, an airplane in her hair",Pareidolia,Buck Meek,Pareidolia,Buck Meek,https://genius.com/Buck-meek-pareidolia-lyrics,7
It's paradise,Pareidolia,Buck Meek,Pareidolia,Buck Meek,https://genius.com/Buck-meek-pareidolia-lyrics,8
"The sun is just aglow, though shade your eyes",Pareidolia,Buck Meek,Pareidolia,Buck Meek,https://genius.com/Buck-meek-pareidolia-lyrics,9
There goes a phoenix with the last light”,Pareidolia,Buck Meek,Pareidolia,Buck Meek,https://genius.com/Buck-meek-pareidolia-lyrics,10
"Baby, it's an omen",Pareidolia,Buck Meek,Pareidolia,Buck Meek,https://genius.com/Buck-meek-pareidolia-lyrics,11
"Let's fly to Puertecitos, where the five turns to sand",Pareidolia,Buck Meek,Pareidolia,Buck Meek,https://genius.com/Buck-meek-pareidolia-lyrics,12
I've seen them burning statues of The Virgin by the roadside,Pareidolia,Buck Meek,Pareidolia,Buck Meek,https://genius.com/Buck-meek-pareidolia-lyrics,13
Remember the time,Pareidolia,Buck Meek,Pareidolia,Buck Meek,https://genius.com/Buck-meek-pareidolia-lyrics,14
You snuck in through the bathroom window,Pareidolia,Buck Meek,Pareidolia,Buck Meek,https://genius.com/Buck-meek-pareidolia-lyrics,15
And waited for me there?,Pareidolia,Buck Meek,Pareidolia,Buck Meek,https://genius.com/Buck-meek-pareidolia-lyrics,16
Hidden in the shower for an hour,Pareidolia,Buck Meek,Pareidolia,Buck Meek,https://genius.com/Buck-meek-pareidolia-lyrics,17
When I went to fill the tub,Pareidolia,Buck Meek,Pareidolia,Buck Meek,https://genius.com/Buck-meek-pareidolia-lyrics,18
I found you wrapped in linens like a ghost,Pareidolia,Buck Meek,Pareidolia,Buck Meek,https://genius.com/Buck-meek-pareidolia-lyrics,19
"My heart froze, I fainted",Pareidolia,Buck Meek,Pareidolia,Buck Meek,https://genius.com/Buck-meek-pareidolia-lyrics,20
Fold me a rose,Pareidolia,Buck Meek,Pareidolia,Buck Meek,https://genius.com/Buck-meek-pareidolia-lyrics,21
With that holiday napkin on the floor,Pareidolia,Buck Meek,Pareidolia,Buck Meek,https://genius.com/Buck-meek-pareidolia-lyrics,22
As payment for your fortunes I predicted,Pareidolia,Buck Meek,Pareidolia,Buck Meek,https://genius.com/Buck-meek-pareidolia-lyrics,23
"You said, ""Bite me, hell no",Pareidolia,Buck Meek,Pareidolia,Buck Meek,https://genius.com/Buck-meek-pareidolia-lyrics,24
"You're lucky I don't fold you, boy""",Pareidolia,Buck Meek,Pareidolia,Buck Meek,https://genius.com/Buck-meek-pareidolia-lyrics,25
Pareidolia,Pareidolia,Buck Meek,Pareidolia,Buck Meek,https://genius.com/Buck-meek-pareidolia-lyrics,26
With your head upon my lap on the buffalo grass,Pareidolia,Buck Meek,Pareidolia,Buck Meek,https://genius.com/Buck-meek-pareidolia-lyrics,27
The clouds are moving fast,Pareidolia,Buck Meek,Pareidolia,Buck Meek,https://genius.com/Buck-meek-pareidolia-lyrics,28
"Sippy, tell me what you see",Pareidolia,Buck Meek,Pareidolia,Buck Meek,https://genius.com/Buck-meek-pareidolia-lyrics,29
"Innocence is a light beam, you're doing your thing",Verse 1,Buck Meek,Candle,Buck Meek,https://genius.com/Buck-meek-candle-lyrics,1
With your arm out your window up Highway 9,Verse 1,Buck Meek,Candle,Buck Meek,https://genius.com/Buck-meek-candle-lyrics,2
"When it's too much to handle, burn me a candle",Verse 1,Buck Meek,Candle,Buck Meek,https://genius.com/Buck-meek-candle-lyrics,3
"If you don't have a candle, let me burn on your mind",Verse 1,Buck Meek,Candle,Buck Meek,https://genius.com/Buck-meek-candle-lyrics,4
The song of the sirens caught up with me downwind,Verse 2,Buck Meek,Candle,Buck Meek,https://genius.com/Buck-meek-candle-lyrics,5
My nose started bleeding by the second note,Verse 2,Buck Meek,Candle,Buck Meek,https://genius.com/Buck-meek-candle-lyrics,6
Heaven is a motel with a telephone seashell,Verse 2,Buck Meek,Candle,Buck Meek,https://genius.com/Buck-meek-candle-lyrics,7
"Well, check-out's at eleven, and don't ask for more time",Verse 2,Buck Meek,Candle,Buck Meek,https://genius.com/Buck-meek-candle-lyrics,8
"Well, did your eyes change? I remember them blue",Chorus,Buck Meek,Candle,Buck Meek,https://genius.com/Buck-meek-candle-lyrics,9
Or were they always hazel?,Chorus,Buck Meek,Candle,Buck Meek,https://genius.com/Buck-meek-candle-lyrics,10
Still the same face with a line or two,Chorus,Buck Meek,Candle,Buck Meek,https://genius.com/Buck-meek-candle-lyrics,11
The same love I always knew,Chorus,Buck Meek,Candle,Buck Meek,https://genius.com/Buck-meek-candle-lyrics,12
"I try not to call, but I think I'm being followed",Verse 3,Buck Meek,Candle,Buck Meek,https://genius.com/Buck-meek-candle-lyrics,13
It's been about an hour or so,Verse 3,Buck Meek,Candle,Buck Meek,https://genius.com/Buck-meek-candle-lyrics,14
"I hate for you to hear me scared, otherwise, I'm well",Verse 3,Buck Meek,Candle,Buck Meek,https://genius.com/Buck-meek-candle-lyrics,15
I guess you're still the first place I go,Verse 3,Buck Meek,Candle,Buck Meek,https://genius.com/Buck-meek-candle-lyrics,16
Did your eyes change? I remember them blue,Chorus,Buck Meek,Candle,Buck Meek,https://genius.com/Buck-meek-candle-lyrics,17
